서대문구 남가좌1동 주민센터 지하2층 커뮤니티실3,서울특별시 서대문구 모래내로15길 37,37.57327487,126.9197797,02-330-8510,http://www.sdm.go.kr/dong/ngj1/index.do,토요일+일요일+공휴일,9:00,18:00,0:00,0:00,무료,10,칠판+책상+의자,인터넷
은사리(마을회관)야외운동기구,충청남도 예산군 광시면 은사리 184-3,36.56223451,126.7672367,041-339-8985,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
서초정2리(마을회관)야외운동기구,충청남도 예산군 광시면 서초정리 1223-9,36.58438274,126.8154618,041-339-8985,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
장신1리(마을회관)야외운동기구,충청남도 예산군 광시면 장신리 684-4,36.56724625,126.8112355,041-339-8985,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
가덕리(마을입구)야외운동기구,충청남도 예산군 광시면 가덕리 388-1,36.54009316,126.7809588,041-339-8985,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
장신2리(마을회관)야외운동기구,충청남도 예산군 광시면 장신리 314,36.57074013,126.8024732,041-339-8985,,연중무휴,0:00,23:59,0:00,23:59,무료,,,상시개방
강동구 암사2동 자치회관 회의실(3층),서울특별시 강동구 고덕로24길 49,37.5523331,127.1357214,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 암사2동 자치회관 제1강의실(3층),서울특별시 강동구 상암로3길 28,37.5517094,127.1272073,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 암사3동 자치회관 다목적실1(4층),서울특별시 강동구 상암로3길 28,37.5517094,127.1272073,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 암사3동 자치회관 다목적실2(4층),서울특별시 강동구 상암로3길 28,37.5517094,127.1272073,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 암사3동 자치회관 회의실(3층),서울특별시 강동구 고덕로 137,37.5549581,127.1407803,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 암사3동 자치회관 강당(5층),서울특별시 강동구 고덕로 137,37.5549581,127.1407803,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 천호1동  자치회관 회의실(2층),서울특별시 강동구 고덕로 137,37.5549581,127.1407803,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 천호1동 자치회관 다목적실(3층),서울특별시 강동구 구천면로42길 59,37.54502087,127.1367917,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 천호2동 주민센터 회의실(3층),서울특별시 강동구 구천면로42길 59,37.54502087,127.1367917,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 천호2동 제1자치회관 다목적실(4층),서울특별시 강동구 올림픽로 698,37.5434227,127.1254198,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 천호3동 자치회관 회의실(17층),서울특별시 강동구 천호대로 1089,37.53660488,127.1331156,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 성내1동 제1강의실(3층),서울특별시 강동구 진황도로23길 7,37.54004284,127.1297914,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 성내1동 제2강의실(3층),서울특별시 강동구 성내로 13,37.53047772,127.1224424,,,공휴일,9:00,21:00,9:00,18:00,무료,,,
강동구 성내2동 자치회관 다목적실(3층),서울특별시 강동구 성내로 13,37.53047772,127.1224424,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
강동구 성내2동 자치회관 새별실(지하1층),서울특별시 강동구 풍성로37가길 62,37.53243047,127.1295279,,,공휴일,9:00,21:00,9:00,18:00,5000,,,
포남어울림작은도서관 강의실,강원특별자치도 강릉시 성덕포남로 149번길 42(포남동),37.76300983,128.9084258,033-660-3261,http://www.gnslib.or.kr,월+일 제외한 공휴일,10:00,17:00,10:00,17:00,무료,22,,인터넷
초당작은도서관 강의실,강원특별자치도 강릉시 연당길 116 (초당동),37.78733422,128.912194,033-660-4542,http://www.gnslib.or.kr,월+일 제외한 공휴일,10:00,17:00,10:00,17:00,무료,19,,인터넷
월대산작은도서관 강의실,강원특별자치도 강릉시 성덕포남로 80-21 (입암동),37.76316134,128.9182604,033-660-4543,http://www.gnslib.or.kr,월+일 제외한 공휴일,10:00,17:00,10:00,17:00,무료,12,,인터넷
남산작은도서관 강의실,강원특별자치도 강릉시 강변로194번길 21 (내곡동),37.74552069,128.8911976,033-660-3265,http://www.gnslib.or.kr,월+일 제외한 공휴일,10:00,17:00,10:00,17:00,무료,14,,인터넷
여성비전센터 요리교실,경기도 가평군 가평읍 문화로 131,37.825423,127.506958,031-8078-8082,share.gg.go.kr,연중무휴,9:00,22:00,9:00,22:00,40000,30,,인터넷+전화+방문
여성비전센터 다목적실,경기도 가평군 가평읍 문화로 131,37.825423,127.506958,031-8078-8082,share.gg.go.kr,연중무휴,9:00,22:00,9:00,22:00,40000,30,,인터넷+전화+방문
여성비전센터 제3강의실,경기도 가평군 가평읍 문화로 131,37.825423,127.506958,031-8078-8082,share.gg.go.kr,연중무휴,9:00,22:00,9:00,22:00,20000,20,,인터넷+전화+방문
청평호반문화체육센터 다목적강당,경기도 가평군 청평면 은고개로 39,37.739212,127.424327,031-8078-7306,share.gg.go.kr,일+공휴일,6:00,22:00,9:00,18:00,50000,200,,인터넷+전화+방문
청평호반문화체육센터 수영장,경기도 가평군 청평면 은고개로 39,37.739212,127.424327,031-8078-7306,share.gg.go.kr,일+공휴일,6:00,22:00,9:00,18:00,320000,100,,인터넷+전화+방문
청평호반문화체육센터 다목적체육관,경기도 가평군 청평면 은고개로 39,37.739212,127.424327,031-8078-7306,share.gg.go.kr,일+공휴일,6:00,22:00,12:00,18:00,55000,300,,인터넷+전화+방문
조종생활체육공원 풋살장,경기도 가평군 조종면 조종희망로26번길 16,37.818408,127.352201,031-580-4215,share.gg.go.kr,연중무휴,9:00,21:00,9:00,21:00,11000,20,,인터넷
조종생활체육공원 족구장,경기도 가평군 조종면 조종희망로26번길 16,37.818408,127.352201,031-580-4215,share.gg.go.kr,연중무휴,9:00,21:00,9:00,21:00,11000,50,,인터넷
조종생활체육공원 축구장,경기도 가평군 조종면 조종희망로26번길 16,37.818408,127.352201,031-580-4215,share.gg.go.kr,연중무휴,9:00,21:00,9:00,21:00,44000,50,,인터넷
